subject_term,housing,bikes,homelessness,dogs,parks,construction,traffic,transit,noise,energy,climate,infrastructure,safety,arts,childcare,democracy,cost of living,healthcare,equity,business
DVD rentals,0.0007900334312580526,0.0002128376654582098,0.00016370647063013166,0.0025207139551639557,0.0007222994463518262,0.0002696342417038977,0.0007163822301663458,0.01205061748623848,0.0008305729134008288,0.0007473401492461562,0.009664969518780708,0.0003762755077332258,0.027431417256593704,0.005114545114338398,0.000264174334006384,0.013187571428716183,0.017812637612223625,0.0003887145430780947,0.053051747381687164,0.7602147459983826
DVD sales,0.0005368145066313446,0.000152217922732234,0.00012477235577534884,0.0019029072718694806,0.000532326172105968,0.00043775825179181993,0.0012317970395088196,0.015925686806440353,0.0007772140088491142,0.0007351742242462933,0.0032792675774544477,0.0004475575697142631,0.026186779141426086,0.006155115086585283,0.00029836350586265326,0.011054626666009426,0.001102411886677146,0.00015580462059006095,0.02284388057887554,0.9398259520530701
EMS stations,0.0003190040879417211,0.0006230890867300332,0.002319048158824444,0.0007388577796518803,7.366203499259427e-05,0.00015755723870825022,0.0010091703152284026,0.9341815114021301,0.014581170864403248,0.010468135587871075,0.003965773154050112,0.100425586104393,0.5029687881469727,0.00039427209412679076,0.00017588047194294631,0.004315516445785761,0.01455256249755621,0.966240406036377,0.10404670983552933,0.004319917410612106
Emerald Ash Borer,0.02540125511586666,0.00042419464443810284,0.0002452459011692554,0.00018224968516733497,0.033746182918548584,0.038444142788648605,0.0004636431986000389,0.06144228205084801,0.0006650215364061296,0.072845958173275,0.0011911974288523197,0.028865348547697067,0.03822169825434685,0.13570374250411987,0.0009523301851004362,0.00017632258823141456,0.0038912934251129627,0.0017072183545678854,0.009999174624681473,0.014371613971889019
Exhibition Place,0.0002475603250786662,0.044711314141750336,5.524603693629615e-05,0.007888110354542732,0.0002557473781052977,0.0002659010933712125,0.00037271578912623227,0.0003239047364331782,0.0001948217977769673,0.045769162476062775,0.0018213121220469475,0.026248391717672348,0.00038762850454077125,0.8218401074409485,9.425442840438336e-05,0.014781401492655277,0.0013338574208319187,0.002838426036760211,0.14442908763885498,0.7318109273910522
First Nations,0.03835497424006462,0.0024614830035716295,0.0012417022371664643,0.0003900423471350223,0.004415455274283886,0.01638789102435112,0.0017346186796203256,0.05324728414416313,0.0008524531149305403,0.024111932143568993,0.0023431808222085238,0.019332747906446457,0.0937119647860527,0.02724674716591835,0.004757632967084646,0.0006736349314451218,0.05287632346153259,0.0008202289463952184,0.3110184371471405,0.0001105995470425114
HHW,0.9636514186859131,0.041029516607522964,0.10249025374650955,0.019099343568086624,0.08738899976015091,0.43855172395706177,0.15432614088058472,0.5058303475379944,0.08800327032804489,0.8324844241142273,0.21017345786094666,0.4319581687450409,0.6338862180709839,0.38996198773384094,0.09844538569450378,0.0477815605700016,0.561011791229248,0.9414797425270081,0.3922090530395508,0.7043129205703735
HIV,0.07693132013082504,0.00013948338164482266,0.00016290041094180197,0.0002517167595215142,0.0017682056641206145,0.0013464593794196844,0.0003382816503290087,0.024852808564901352,0.00023506517754867673,0.0002433537010801956,0.00012417043035384268,0.0004933999734930694,0.0004536317428573966,0.00035725446650758386,0.0003104784700553864,5.5176442401716486e-05,0.0003756833903025836,0.10193567723035812,0.0002671793336048722,0.0003856006369460374
HIV/AIDS,0.005472920835018158,0.00010673393262550235,0.00011268975504208356,0.00011079277464887127,0.00043252005707472563,0.0003386297612451017,0.00020860673976130784,0.005753382109105587,0.0002203458279836923,0.00016381546447519213,8.823946700431406e-05,0.0002520959242247045,0.0006197630427777767,0.00013412693806458265,7.487839320674539e-05,5.264344872557558e-05,0.0002266356605105102,0.0036394239868968725,0.00041712139500305057,0.00022863253252580762
HOV lanes,0.0019986077677458525,0.00019849392992909998,5.138430788065307e-05,0.00016966949624475092,0.00017230900994036347,0.0015913228271529078,0.9327608346939087,0.8914116024971008,0.0001691707584541291,0.004191049374639988,0.0005138345877639949,0.9038316607475281,0.7676404118537903,0.0003697680658660829,9.721908281790093e-05,0.0002996271359734237,0.0009091030224226415,0.0005483112181536853,0.010994341224431992,0.017362188547849655
