,subject_term,housing,bikes,homelessness,dogs,parks,construction,traffic,transit,noise,energy,climate,infrastructure,safety,arts,childcare,democracy,cost of living,healthcare,equity,business,max_val,max_cat,count
4436,traffic,0.001,0.001,0.000,0.000,0.000,0.005,0.997,0.850,0.185,0.000,0.001,0.564,0.268,0.000,0.000,0.002,0.002,0.000,0.021,0.001,0.997,traffic,828
3744,road construction,0.000,0.000,0.000,0.000,0.000,0.997,0.925,0.000,0.015,0.000,0.000,0.996,0.002,0.000,0.000,0.000,0.000,0.000,0.005,0.090,0.997,construction,153
1259,day nurseries,0.002,0.000,0.000,0.003,0.001,0.000,0.000,0.001,0.010,0.013,0.008,0.003,0.443,0.002,0.997,0.002,0.029,0.046,0.055,0.002,0.997,childcare,146
1374,dog licenses,0.001,0.000,0.000,0.997,0.022,0.009,0.000,0.013,0.001,0.001,0.002,0.001,0.246,0.002,0.001,0.002,0.006,0.000,0.009,0.059,0.997,dogs,76
4486,train stations,0.000,0.000,0.000,0.000,0.000,0.001,0.018,0.997,0.089,0.001,0.000,0.983,0.442,0.000,0.000,0.003,0.016,0.000,0.123,0.031,0.997,transit,36
3336,preschool education,0.000,0.002,0.000,0.004,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.000,0.997,0.001,0.000,0.000,0.056,0.000,0.997,childcare,69
1572,entry prohibitions (traffic),0.002,0.016,0.001,0.002,0.001,0.003,0.997,0.667,0.009,0.001,0.001,0.330,0.209,0.000,0.000,0.000,0.001,0.000,0.003,0.005,0.997,traffic,30
4569,trucks,0.000,0.000,0.000,0.000,0.000,0.148,0.997,0.333,0.018,0.001,0.001,0.038,0.411,0.000,0.000,0.000,0.004,0.000,0.012,0.600,0.997,traffic,39
4544,travellers,0.002,0.014,0.001,0.002,0.004,0.002,0.944,0.997,0.004,0.038,0.031,0.004,0.200,0.079,0.001,0.022,0.053,0.004,0.126,0.002,0.997,transit,28
2622,manhole,0.001,0.000,0.002,0.000,0.000,0.947,0.004,0.123,0.023,0.000,0.000,0.997,0.681,0.000,0.000,0.000,0.023,0.000,0.000,0.020,0.997,infrastructure,8
3483,public transit,0.000,0.013,0.000,0.000,0.000,0.000,0.004,0.997,0.008,0.000,0.000,0.009,0.477,0.000,0.000,0.002,0.008,0.000,0.148,0.000,0.997,transit,329
2944,on ramps (highways),0.000,0.000,0.000,0.000,0.000,0.355,0.971,0.000,0.004,0.000,0.000,0.997,0.784,0.000,0.000,0.000,0.001,0.000,0.009,0.001,0.997,infrastructure,21
3931,sidewalk brick installation,0.070,0.000,0.000,0.000,0.009,0.997,0.004,0.052,0.000,0.038,0.009,0.992,0.779,0.939,0.000,0.008,0.066,0.000,0.269,0.534,0.997,construction,126
919,climate,0.002,0.002,0.002,0.005,0.002,0.000,0.001,0.002,0.001,0.000,0.998,0.000,0.004,0.000,0.000,0.001,0.001,0.000,0.010,0.000,0.998,climate,37
3918,ships,0.998,0.000,0.000,0.001,0.000,0.086,0.000,0.043,0.003,0.008,0.002,0.016,0.498,0.003,0.001,0.002,0.106,0.013,0.046,0.099,0.998,housing,4
4852,watermain connections,0.000,0.000,0.000,0.000,0.000,0.006,0.012,0.001,0.000,0.000,0.000,0.998,0.680,0.000,0.000,0.001,0.003,0.000,0.008,0.026,0.998,infrastructure,84
3486,public transportation,0.000,0.100,0.000,0.000,0.000,0.000,0.086,0.998,0.007,0.000,0.000,0.070,0.514,0.000,0.000,0.003,0.019,0.000,0.264,0.000,0.998,transit,329
3684,residential tenants,0.998,0.002,0.000,0.002,0.000,0.007,0.001,0.000,0.033,0.010,0.015,0.001,0.508,0.001,0.000,0.032,0.324,0.000,0.534,0.154,0.998,housing,48
681,bus lines,0.000,0.000,0.000,0.000,0.000,0.001,0.385,0.998,0.001,0.001,0.001,0.644,0.256,0.000,0.000,0.003,0.036,0.000,0.039,0.506,0.998,transit,7
2917,odors,0.073,0.004,0.049,0.998,0.005,0.133,0.134,0.699,0.888,0.056,0.144,0.100,0.020,0.002,0.016,0.002,0.424,0.034,0.006,0.121,0.998,dogs,18
683,bus routes,0.000,0.000,0.000,0.000,0.000,0.001,0.922,0.998,0.001,0.002,0.001,0.057,0.272,0.000,0.000,0.009,0.008,0.001,0.055,0.471,0.998,transit,28
523,bike parking,0.000,0.998,0.000,0.000,0.134,0.000,0.000,0.006,0.001,0.003,0.001,0.729,0.890,0.000,0.000,0.002,0.003,0.000,0.490,0.281,0.998,bikes,23
4247,subway busker,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.998,0.910,0.002,0.002,0.001,0.016,0.405,0.000,0.001,0.102,0.000,0.100,0.012,0.998,transit,1
3070,parkland,0.000,0.004,0.000,0.003,0.998,0.000,0.000,0.000,0.001,0.002,0.001,0.004,0.551,0.001,0.000,0.002,0.032,0.001,0.108,0.006,0.998,parks,937
3456,public housing,0.998,0.001,0.000,0.002,0.000,0.002,0.000,0.000,0.011,0.000,0.001,0.004,0.144,0.000,0.000,0.001,0.452,0.000,0.905,0.000,0.998,housing,321
833,child care,0.000,0.002,0.000,0.001,0.001,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.021,0.000,0.998,0.001,0.003,0.001,0.071,0.000,0.998,childcare,193
4202,street poles,0.001,0.000,0.011,0.000,0.000,0.764,0.003,0.006,0.002,0.020,0.001,0.998,0.819,0.001,0.000,0.006,0.040,0.000,0.036,0.066,0.998,infrastructure,1
651,builders,0.540,0.020,0.000,0.001,0.002,0.998,0.001,0.001,0.001,0.038,0.002,0.855,0.019,0.001,0.000,0.029,0.021,0.001,0.152,0.931,0.998,construction,14
979,commercial landlords,0.014,0.002,0.000,0.002,0.002,0.002,0.002,0.001,0.007,0.005,0.006,0.003,0.013,0.000,0.000,0.000,0.029,0.000,0.268,0.998,0.998,business,6
831,child,0.164,0.036,0.094,0.008,0.155,0.292,0.030,0.506,0.074,0.048,0.081,0.020,0.433,0.528,0.998,0.055,0.174,0.074,0.257,0.000,0.998,childcare,135
